#,Project,Tracker,Parent task,Parent task subject,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Total estimated time,Spent time,Total spent time,% Done,Created,Closed,Last updated by,Related issues,Files,Tags,Bug Detected Phase,Bug Injected Phase,Log Type
912,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽运营-脑防委活动管理批量下载图片只能下载一张,毕艳芳,余鹏飞,2020-06-08 17:07,"",V0.8,2020-06-08,2020-06-08,"","",0.00,0.00,100,2020-06-08 14:44,2020-06-08 17:07,徐苗,Related to #810,企业微信截图_a46409b3-8fbd-4629-b1f6-2b1654e508d2.png,咯叽运营,UAT Bug,开发,""
910,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽运营-脑防委活动管理 服务类型没有显示很多字段没有显示，详情见截图,毕艳芳,余鹏飞,2020-06-08 17:01,"",V0.8,2020-06-08,2020-06-08,"","",0.00,0.00,100,2020-06-08 14:29,2020-06-08 17:01,徐苗,Related to #810,企业微信截图_f8c28e9b-3cdd-4151-af0c-446b689a653c.png,咯叽运营,UAT Bug,开发,""
908,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽服务-物料列表-详情 日志没有显示,毕艳芳,余鹏飞,2020-06-08 17:24,"",V0.8,2020-06-08,2020-06-08,"","",0.00,0.00,100,2020-06-08 14:13,2020-06-08 17:24,徐苗,Related to #801,企业微信截图_176d6049-7e41-4220-9f3a-3c0f8940de19.png,咯叽服务,UAT Bug,开发,""
907,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽服务-物料列表脑防委活动没有显示医生名称,毕艳芳,余鹏飞,2020-06-08 17:26,"",V0.8,2020-06-08,2020-06-08,"","",0.00,0.00,100,2020-06-08 14:09,2020-06-08 17:26,徐苗,Related to #801,企业微信截图_cddfb05d-9a8b-4f60-99de-c0f3968e4d6d.png,咯叽服务,UAT Bug,开发,""
895,穿山甲,Bug,723,早安血糖的幻灯库和面单管理,Done,Normal,早安血糖Tracking下载PPT的文件名和文件类型都是错误的,毕艳芳,余鹏飞,2020-06-09 09:04,"",V0.8,2020-06-07,2020-06-07,"","",0.00,0.00,100,2020-06-07 14:22,2020-06-09 09:04,徐苗,"","s_诺华早安血糖e讲堂_PPT课件_MED20043800_武红梅_赵琪20200607142005
企业微信截图_11ed2b20-ca72-4ca3-a3ab-6b8063a898d8.png","",PRD Bug,开发,""
893,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽服务-面单录入无法搜索到活动，提示后台错误,毕艳芳,余鹏飞,2020-06-08 10:10,"",V0.8,2020-06-07,2020-06-07,"","",0.00,0.00,100,2020-06-07 13:56,2020-06-07 17:21,徐苗,"",企业微信截图_cadbddc8-1f85-43aa-8b66-1d6cf013bc4d.png,"",UAT Bug,开发,""
890,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,搜索全部AMM时，无数据显示,徐苗,余鹏飞,2020-06-07 13:55,"",V0.8,2020-06-07,2020-06-07,"","",0.00,0.00,100,2020-06-07 12:40,2020-06-07 13:55,徐苗,"",clipboard-202006071239-glxek.png,"",IT Bug,开发,""
889,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,早安血糖的tracking表下载的模版是血压e讲堂的,徐苗,余鹏飞,2020-06-07 13:56,"",V0.8,2020-06-07,2020-06-07,"","",0.00,0.00,100,2020-06-07 12:34,2020-06-07 13:56,徐苗,Related to #793,"","",IT Bug,开发,""
886,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽服务面单录入切换下拉选择项目第三次报错,毕艳芳,余鹏飞,2020-06-08 09:05,"",V0.8,2020-06-05,2020-06-05,"","",0.00,0.00,100,2020-06-05 14:55,2020-06-08 09:05,徐苗,Related to #804,"",咯叽服务,UAT Bug,开发,""
885,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,诺华E讲堂添加活动已经存在的PPT课件的活动无法保存,毕艳芳,余鹏飞,2020-06-07 17:14,"",V0.8,2020-06-05,2020-06-05,"","",0.00,0.00,100,2020-06-05 14:46,2020-06-07 17:14,徐苗,Related to #780,"企业微信截图_e33a9b60-56ba-4c3a-ae20-e0ab1e6aabfa.png
企业微信截图_7e942974-c7ae-4d7a-b958-e990d2cc44fe.png","",UAT Bug,开发,""
883,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,脑防委名医审核备注显示的是状态字段,毕艳芳,余鹏飞,2020-06-08 09:05,"",V0.8,2020-06-05,2020-06-05,"","",0.00,0.00,100,2020-06-05 14:20,2020-06-08 09:05,徐苗,Related to #798,"企业微信截图_2d3478b5-428b-4d2b-8088-4c116551d8d0.png
企业微信截图_b631a65f-9bd5-468b-8012-305470f46f56.png
企业微信截图_2619e23a-c3cf-4330-a530-989861351640.png",脑防委,UAT Bug,开发,""
878,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,Tracking表中面单上传和下载的问题,毕艳芳,余鹏飞,2020-06-05 17:23,"",V0.8,2020-06-05,2020-06-05,"","",0.00,0.00,100,2020-06-05 10:40,2020-06-05 16:54,徐苗,Related to #780,"企业微信截图_fe2229db-2118-4eb5-be7d-e86f4a32780f.png
企业微信截图_2411757a-1469-4563-a846-aa8d683d2d16.png",血压 e 讲堂,UAT Bug,开发,""
877,穿山甲,Story,743,统一早安血糖和诺华 E 讲堂的医脉通接口,Done,Normal,医脉通接口重试后台（E讲堂、早安血糖）,许清斌,余鹏飞,2020-06-18 15:46,"",V0.8,2020-06-11,2020-06-12,8.00,8.00,0.00,0.00,100,2020-06-04 21:22,2020-06-18 15:46,徐苗,"","","","","",""
876,穿山甲,Story,743,统一早安血糖和诺华 E 讲堂的医脉通接口,Done,Normal,医脉通早安血糖接口调用改造,许清斌,余鹏飞,2020-06-18 15:45,"",V0.8,2020-06-08,2020-06-08,8.00,8.00,0.00,0.00,100,2020-06-04 21:20,2020-06-18 15:45,徐苗,"","","","","",""
870,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,在tracking表的页面中，上传ppt附件，附件的日期是当前日期,徐苗,余鹏飞,2020-06-07 13:37,"",V0.8,2020-06-05,2020-06-05,"","",0.00,0.00,100,2020-06-04 15:08,2020-06-07 13:37,徐苗,Related to #780,"","",IT Bug,开发,""
869,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,已有ppt，并录入好面单的活动状态未变成待更新,徐苗,余鹏飞,2020-06-04 20:23,"",V0.8,2020-06-04,2020-06-04,"","",0.00,0.00,100,2020-06-04 15:06,2020-06-04 20:23,徐苗,Related to #804,"","",IT Bug,开发,""
863,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,保存时，密码没做修改时，默认填空，不修改,徐苗,余鹏飞,2020-06-07 13:43,"",V0.8,2020-06-05,2020-06-05,0.50,0.50,0.00,0.00,100,2020-06-02 10:08,2020-06-07 13:43,徐苗,Related to #820,clipboard-202006021007-qrdrl.png,"",IT Bug,开发,""
859,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,开始结束时间与有效无效数据错误,徐苗,余鹏飞,2020-06-02 11:41,"",V0.8,2020-06-02,2020-06-02,0.50,0.50,0.00,0.00,100,2020-06-01 17:40,2020-06-02 11:41,徐苗,Related to #784,"clipboard-202006011739-svxgx.png
clipboard-202006011741-qjrah.png","",IT Bug,开发,""
857,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,第一个拒绝的原因还显示在第二个拒绝的输入框内，点击确认报错,徐苗,余鹏飞,2020-06-03 09:27,"",V0.8,2020-06-02,2020-06-02,0.50,0.50,0.00,0.00,100,2020-06-01 17:16,2020-06-03 09:27,徐苗,Related to #798,clipboard-202006011715-iihpg.png,"",IT Bug,开发,""
852,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,下载模版以及导出DSM失败，失败原因见描述,徐苗,余鹏飞,2020-06-02 11:05,"",V0.8,2020-06-01,2020-06-01,"","",0.00,0.00,100,2020-06-01 13:41,2020-06-02 11:05,徐苗,Related to #780,"clipboard-202006011339-hode5.png
clipboard-202006011339-ffiet.png","",IT Bug,开发,""
851,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,tracking表导入成功，但查询不到数据,徐苗,余鹏飞,2020-06-03 11:10,"",V0.8,2020-06-01,2020-06-01,"","",0.00,0.00,100,2020-06-01 13:36,2020-06-03 11:10,徐苗,Related to #780,"clipboard-202006011336-hjwqb.png
诺华E讲堂_Tracking_模版 (2).xlsx","",IT Bug,开发,""
848,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,日期的搜索无效,徐苗,余鹏飞,2020-06-07 13:40,"",V0.8,2020-06-05,2020-06-05,0.50,0.50,0.00,0.00,100,2020-05-29 16:41,2020-06-07 13:40,徐苗,Related to #805,clipboard-202005291640-m4je2.png,"",IT Bug,开发,""
843,穿山甲,Bug,723,早安血糖的幻灯库和面单管理,Done,Normal,脑防委导出活动明细不出来，一直99%,余鹏飞,余鹏飞,2020-05-29 10:46,"",V0.8,2020-05-27,2020-05-27,1.00,1.00,0.00,0.00,100,2020-05-27 13:27,2020-05-29 10:46,徐苗,"",企业微信截图_15905571198073.png,"",IT Bug,开发,""
831,穿山甲,Bug,723,早安血糖的幻灯库和面单管理,Done,Normal,ACC 面单和 PPT 课件上传 页面删除,徐苗,余鹏飞,2020-05-25 20:08,"",V0.8,2020-05-25,2020-05-25,"","",0.00,0.00,100,2020-05-25 17:42,2020-05-25 20:08,徐苗,Related to #740,企业微信截图_6f95691d-ca79-4350-aa69-74670adae682.png,"",IT Bug,开发,""
820,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,系统设置-后台用户列表,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-05-28,2020-05-29,12.00,12.00,0.00,0.00,100,2020-05-25 09:57,2020-06-09 09:06,徐苗,Related to #863,"","系统设置, noodle-thymeleaf","","",""
813,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽运营-穿山甲登录用户管理,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-06-04,2020-06-04,6.00,6.00,0.00,0.00,100,2020-05-25 09:51,2020-06-09 09:06,徐苗,"","","咯叽运营, noodle-thymeleaf","","",""
810,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽运营-诺华脑防委活动管理,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-06-03,2020-06-04,6.00,6.00,0.00,0.00,100,2020-05-25 09:48,2020-06-09 09:06,徐苗,"Related to #910, Related to #912","","咯叽运营, noodle-thymeleaf","","",""
808,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽运营-早安血糖活动管理,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-06-01,2020-06-01,3.00,3.00,0.00,0.00,100,2020-05-25 09:47,2020-06-09 09:06,徐苗,Related to #875,"","咯叽运营, noodle-thymeleaf","","",""
805,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽服务-面单文件列表管理,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-05-26,2020-05-28,12.00,12.00,0.00,0.00,100,2020-05-25 09:44,2020-06-09 09:06,徐苗,Related to #848,"","咯叽服务, noodle-thymeleaf","","",""
804,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽服务-面单内容录入,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-06-02,2020-06-02,6.00,6.00,0.00,0.00,100,2020-05-25 09:44,2020-06-09 09:06,徐苗,"Related to #869, Related to #886","","咯叽服务, noodle-thymeleaf","","",""
801,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽服务-物料列表,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-06-01,2020-06-01,5.00,5.00,0.00,0.00,100,2020-05-25 09:41,2020-06-09 09:06,徐苗,"Related to #907, Related to #908, Related to #913","","咯叽服务, noodle-thymeleaf","","",""
798,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,诺华脑防委-名医审核,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-05-29,2020-05-29,8.00,8.00,0.00,0.00,100,2020-05-25 09:37,2020-06-09 09:06,徐苗,"Related to #857, Related to #883","","脑防委, noodle-thymeleaf","","",""
795,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,诺华早安血糖-DSM场次查询,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-05-28,2020-05-28,5.00,5.00,0.00,0.00,100,2020-05-25 09:34,2020-06-09 09:06,徐苗,"","","早安血糖 e 讲堂, noodle-thymeleaf","","",""
793,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,诺华早安血糖-Tracking表管理,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-06-05,2020-06-05,8.00,8.00,0.00,0.00,100,2020-05-25 09:33,2020-06-09 09:06,徐苗,Related to #889,"","早安血糖 e 讲堂, noodle-thymeleaf","","",""
790,穿山甲,Log,722,血压 E 讲堂二期需求变更（五月）,Done,Normal,ZaxtAmmServiceImpl.getUploadQiniuKey ArrayIndexOutOfBoundsException: 2,谷常生,余鹏飞,2020-06-19 14:05,"",V0.8,2020-05-25,2020-05-25,0.50,0.50,0.00,0.00,100,2020-05-22 17:25,2020-05-27 13:24,徐苗,"","","","","",Java Log
788,穿山甲,Bug,722,血压 E 讲堂二期需求变更（五月）,Rejected,Normal,签到表文件在苹果手机上无法查看,徐苗,余鹏飞,2020-05-22 16:57,"",V0.8,2020-05-22,2020-05-22,"","",0.00,0.00,0,2020-05-22 16:27,2020-05-22 16:57,徐苗,Related to #733,"","",IT Bug,开发,""
784,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,诺华E讲堂-幻灯库,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-05-28,2020-05-28,8.00,8.00,0.00,0.00,100,2020-05-21 18:19,2020-06-09 09:06,徐苗,Related to #859,"","血压 e 讲堂, noodle-thymeleaf","","",""
782,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,诺华E讲堂-活动变更,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-05-26,2020-05-26,8.00,8.00,0.00,0.00,100,2020-05-21 18:17,2020-06-09 09:06,徐苗,"","","血压 e 讲堂, noodle-thymeleaf","","",""
780,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,诺华E讲堂-Tracking表管理,毕艳芳,余鹏飞,2020-06-09 09:06,"",V0.8,2020-05-25,2020-05-27,12.00,12.00,0.00,0.00,100,2020-05-21 18:15,2020-06-09 09:06,徐苗,"Related to #851, Related to #852, Related to #870, Related to #878, Related to #885","","血压 e 讲堂, noodle-thymeleaf","","",""
770,穿山甲,Bug,393,场次管理，活动是否能举行,Done,Normal,Doctor按项目场次查询中，用一个没有的医院名称搜索，搜索出很多医院为空的医生,毕艳芳,余鹏飞,2020-05-21 14:07,"",V0.7,2020-05-19,2020-05-19,1.00,1.00,0.00,0.00,100,2020-05-19 17:37,2020-05-21 14:07,徐苗,"",1589880942241.jpg,"",UAT Bug,开发,""
766,穿山甲,Bug,393,场次管理，活动是否能举行,Done,Normal,数据详情都要按时间倒排序,毕艳芳,余鹏飞,2020-05-21 16:56,"",V0.7,2020-05-19,2020-05-19,1.00,1.00,0.00,0.00,100,2020-05-19 15:28,2020-05-21 16:56,徐苗,"",企业微信截图_b86fc137-7bf8-4c01-8775-80e61c94fcec.png,"",UAT Bug,需求,""
763,穿山甲,Bug,393,场次管理，活动是否能举行,Done,Normal,医生场次查询时，明细数据翻页没变化,徐苗,余鹏飞,2020-05-19 14:14,"",V0.7,2020-05-19,2020-05-19,"","",0.00,0.00,100,2020-05-19 10:02,2020-05-19 14:14,徐苗,Related to #655,"","",IT Bug,开发,""
750,穿山甲,Bug,471,重构 Project 核心模型,Done,Normal,重复录入的面单，已录入的数据，不可以删除,毕艳芳,余鹏飞,2020-05-18 11:26,"",V0.7,2020-05-15,2020-05-15,2.00,2.00,0.00,0.00,100,2020-05-15 14:33,2020-05-18 11:26,徐苗,Related to #692,企业微信截图_83c68f00-deb7-4dd5-a2f4-46d72411fe83.png,"",UAT Bug,需求,""
749,穿山甲,Bug,393,场次管理，活动是否能举行,Done,Normal,诺华e讲堂一期，医生场次管理，翻页到第三页的时候没查出数据,徐苗,余鹏飞,2020-05-15 14:21,"",V0.7,2020-05-15,2020-05-15,"","",0.00,0.00,100,2020-05-15 12:00,2020-05-15 14:21,徐苗,"","","",IT Bug,开发,""
747,穿山甲,Bug,393,场次管理，活动是否能举行,Done,Normal,查询医生流水的时候是是按医生姓名做唯一值查的，应该是姓名+医院名+科室,徐苗,余鹏飞,2020-05-15 14:46,"",V0.7,2020-05-14,2020-05-14,"","",0.00,0.00,100,2020-05-14 17:26,2020-05-15 14:46,徐苗,Related to #655,"","",UT Bug,开发,""
744,穿山甲,Story,743,统一早安血糖和诺华 E 讲堂的医脉通接口,Done,Normal,诺华E讲堂的医脉通接口调用改成早安血糖一致的方式,毕艳芳,余鹏飞,2020-06-18 15:45,"",V0.8,2020-06-09,2020-06-10,10.00,10.00,0.00,0.00,100,2020-05-14 17:10,2020-06-18 15:45,徐苗,"","",血压 e 讲堂,"","",""
742,穿山甲,Story,723,早安血糖的幻灯库和面单管理,Done,Normal,咯叽服务-面单录入 增加早安血糖数据,毕艳芳,余鹏飞,2020-05-29 10:46,"",V0.8,2020-05-22,2020-05-22,6.00,6.00,0.00,0.00,100,2020-05-14 16:52,2020-05-29 10:46,徐苗,"","story_742.sql
解除用户访问权限.sql","早安血糖 e 讲堂, noodle-thymeleaf","","",""
738,穿山甲,Story,724,脑防委需求变更（五月）,Done,Normal,脑防委活动明细的脚本变更,毕艳芳,余鹏飞,2020-05-27 13:24,"",V0.8,2020-05-21,2020-05-21,8.00,8.00,0.00,0.00,100,2020-05-14 16:13,2020-05-27 13:24,徐苗,"","","脑防委, noodle-thymeleaf","","",""
737,穿山甲,Story,724,脑防委需求变更（五月）,Done,Normal,增加脑防委分期管理,毕艳芳,余鹏飞,2020-05-27 13:24,"",V0.8,2020-05-19,2020-05-20,5.00,5.00,0.00,0.00,100,2020-05-14 16:10,2020-05-27 13:24,徐苗,"","分期模版.xlsx
story_737.sql","脑防委, noodle-thymeleaf","","",""
733,穿山甲,Story,722,血压 E 讲堂二期需求变更（五月）,Done,Normal,代表可以把签到表发送到邮箱,毕艳芳,余鹏飞,2020-05-28 17:11,"",V0.8,2020-05-19,2020-05-19,6.00,6.00,0.00,0.00,100,2020-05-14 15:39,2020-05-28 17:11,徐苗,Related to #788,发送到邮箱.png,"穿山甲, nood-service","","",""
725,穿山甲,Bug,471,重构 Project 核心模型,Done,Normal,代表登录，获取微信信息后，确认身份，显示一直在加载中,毕艳芳,余鹏飞,2020-05-21 13:59,"",V0.7,2020-05-14,2020-05-14,0.50,0.50,0.00,0.00,100,2020-05-14 11:23,2020-05-14 17:35,徐苗,"",企业微信截图_50b5a788-ad5c-4d98-9811-2ddecd9f041b.png,穿山甲,PRD Bug,开发,""
720,穿山甲,Bug,393,场次管理，活动是否能举行,Done,Normal,查询脑防委医生场次时，查询速度慢,徐苗,余鹏飞,2020-05-19 10:05,"",V0.7,2020-05-13,2020-05-13,"","",0.00,0.00,100,2020-05-13 17:59,2020-05-19 10:05,徐苗,Related to #655,"","",IT Bug,开发,""
718,穿山甲,Bug,393,场次管理，活动是否能举行,Done,Normal,医生场次流水查询时，有流水但页面中显示的是0，所以无法查看流水,徐苗,余鹏飞,2020-05-14 18:11,"",V0.7,2020-05-13,2020-05-13,"","",0.00,0.00,100,2020-05-13 17:42,2020-05-14 18:11,徐苗,Related to #655,clipboard-202005131741-hhnc9.png,"",IT Bug,开发,""
714,穿山甲,Bug,393,场次管理，活动是否能举行,Done,Normal,医生信息查询流水的时，有一定几率报错,徐苗,余鹏飞,2020-05-13 17:25,"",V0.7,2020-05-13,2020-05-13,"","",0.00,0.00,100,2020-05-13 14:37,2020-05-13 17:25,徐苗,Related to #655,clipboard-202005131436-gmem3.png,"",IT Bug,开发,""
703,穿山甲,Bug,393,场次管理，活动是否能举行,Done,Normal,诺华E讲堂第二期医生流水查询没有医生信息,毕艳芳,余鹏飞,2020-05-21 14:07,"",V0.7,2020-05-18,2020-05-18,"","",0.00,0.00,100,2020-05-11 09:48,2020-05-21 14:07,徐苗,"",企业微信截图_dc13b1c5-ef89-4740-905c-5a6b45ff65d0.png,穿山甲,UAT Bug,开发,""
701,穿山甲,Bug,471,重构 Project 核心模型,Done,Normal,在查结束日期是5月8日，开始时间为空时，查询出5月15号的日期,徐苗,余鹏飞,2020-05-08 15:06,"",V0.7,2020-05-08,2020-05-08,"","",0.00,0.00,100,2020-05-08 13:51,2020-05-08 15:06,徐苗,Related to #690,"","",IT Bug,开发,""
695,穿山甲,Bug,471,重构 Project 核心模型,Done,Normal,穿山甲我的页面显示的时间错误,毕艳芳,余鹏飞,2020-05-08 09:39,"",V0.7,2020-05-07,2020-05-07,0.50,0.50,0.00,0.00,100,2020-05-06 13:47,2020-05-08 09:39,徐苗,"","企业微信截图_d0c2b74c-78df-4e5f-843e-3593e2751d1c.png
e443086934db94781d553d5efe0d75ff.jpg","穿山甲, nood-service",PRD Bug,开发,""
694,穿山甲,Story,471,重构 Project 核心模型,Done,Normal,DSM 管理页面按待处理 MR 人数倒排序,毕艳芳,余鹏飞,2020-05-25 13:35,"",V0.7,2020-05-09,2020-05-09,3.00,3.00,0.00,0.00,100,2020-05-06 13:40,2020-05-25 13:35,徐苗,"","","咯叽运营, noodle-thymeleaf","","",""
693,穿山甲,Story,471,重构 Project 核心模型,Done,Normal,物料列表页按项目排序、详情页上传设计稿,毕艳芳,余鹏飞,2020-05-25 13:35,"",V0.7,2020-05-08,2020-05-09,6.00,6.00,3.50,3.50,100,2020-05-06 13:37,2020-05-25 13:35,徐苗,"","","咯叽服务, noodle-thymeleaf","","",""
692,穿山甲,Story,471,重构 Project 核心模型,Done,Normal,面单列表管理,毕艳芳,余鹏飞,2020-05-25 13:35,"",V0.7,2020-05-08,2020-05-08,6.00,6.00,0.50,0.50,100,2020-05-06 13:29,2020-05-25 13:35,徐苗,Related to #750,面单状态.png,"咯叽服务, noodle-thymeleaf","","",""
691,穿山甲,Story,471,重构 Project 核心模型,Done,Normal,面单录入加入重复PDF按钮，不需要录入,毕艳芳,余鹏飞,2020-05-25 13:35,"",V0.7,2020-05-07,2020-05-07,4.00,4.00,0.00,0.00,100,2020-05-06 12:08,2020-05-25 13:35,徐苗,"","","咯叽服务, noodle-thymeleaf","","",""
690,穿山甲,Story,471,重构 Project 核心模型,Done,Normal,Tracking表管理列表页，搜索中加上直播日期范围查询,毕艳芳,余鹏飞,2020-05-25 13:35,"",V0.7,2020-05-07,2020-05-07,3.00,3.00,0.00,0.00,100,2020-05-06 12:04,2020-05-25 13:35,徐苗,Related to #701,"",noodle-thymeleaf,"","",""
667,穿山甲,Log,471,重构 Project 核心模型,Done,Normal,PersonalServiceImpl.getPersonalInfo NonUniqueResultException: query did not return a unique result,谷常生,余鹏飞,2020-06-19 14:11,"",V0.7,2020-04-26,2020-04-26,"","",0.00,0.00,100,2020-04-26 16:33,2020-04-29 11:44,徐苗,"","","","","",Java Log
657,穿山甲,Bug,471,重构 Project 核心模型,Done,Normal,DSM查看「未核查」的E讲堂活动详情，页面样式是脑防委的,徐苗,余鹏飞,2020-04-23 14:34,"",V0.7,2020-04-23,2020-04-23,"","",0.00,0.00,100,2020-04-23 10:09,2020-04-23 14:34,徐苗,Related to #638,"","",IT Bug,开发,""
655,穿山甲,Story,393,场次管理，活动是否能举行,Done,Normal,项目管理-详情-项目+医生 场次查询,毕艳芳,余鹏飞,2020-05-25 13:35,"",V0.7,2020-04-24,2020-05-06,15.00,15.00,22.00,22.00,100,2020-04-22 19:51,2020-05-25 13:35,徐苗,"Related to #714, Related to #718, Related to #720, Related to #747, Related to #763","","咯叽运营, noodle-thymeleaf","","",""
654,穿山甲,Story,393,场次管理，活动是否能举行,Rejected,Normal,项目管理-详情-项目+共有医生 场次查询,毕艳芳,余鹏飞,2020-04-27 11:26,"",V0.7,2020-04-24,2020-04-26,12.00,12.00,0.00,0.00,0,2020-04-22 19:50,2020-04-24 15:21,毕艳芳,"","","咯叽运营, noodle-thymeleaf","","",""
644,穿山甲,Log,471,重构 Project 核心模型,Done,High,NullPointerException PersonalServiceImpl.updateMobile(PersonalServiceImpl.java:220),谷常生,余鹏飞,2020-06-19 14:11,"",V0.7,2020-04-21,2020-04-22,"","",3.00,3.00,100,2020-04-21 18:13,2020-04-24 09:09,徐苗,"","","","","",Java Log
638,穿山甲,Story,471,重构 Project 核心模型,Done,Normal,诺华E讲堂第二期的活动，执行完成后加入提醒返回报告的预计间隔天数,毕艳芳,余鹏飞,2020-04-29 09:10,"",V0.7,2020-04-22,2020-04-22,4.00,4.00,0.00,0.00,100,2020-04-20 17:00,2020-04-29 09:10,徐苗,Related to #657,企业微信截图_92eb649a-9402-40c0-b711-fdef6a388428.png,"穿山甲, nood-service","","",""
637,穿山甲,Bug,569,E 讲堂的医生信息收集,Done,Normal,提醒选择下次再说，本次登录过程中不再提醒,毕艳芳,余鹏飞,2020-04-21 13:50,"",V0.7,2020-04-20,2020-04-20,0.50,0.50,0.00,0.00,100,2020-04-20 14:43,2020-04-21 13:50,徐苗,Related to #579,SVID_20200420_144209_1.mp4,穿山甲,UAT Bug,需求,""
633,穿山甲,Bug,471,重构 Project 核心模型,Done,Normal,脑防伪修改场次的日志，重复了一列,徐苗,余鹏飞,2020-04-20 11:24,"",V0.7,2020-04-20,2020-04-20,0.50,0.50,0.00,0.00,100,2020-04-20 10:18,2020-04-20 11:24,徐苗,Related to #470,clipboard-202004201017-5qqw5.png,"",IT Bug,开发,""
631,穿山甲,Story,471,重构 Project 核心模型,Done,Normal,CHC没有AMM，AMM的角色和功能由DSM替代,毕艳芳,余鹏飞,2020-04-29 09:10,"",V0.7,2020-04-21,2020-04-22,8.00,8.00,0.00,0.00,100,2020-04-17 18:36,2020-04-29 09:10,徐苗,Related to #650,"WechatIMG9.jpeg
story_631.sql",nood-service,"","",""
